H|03-sticky|调用=800|初始=8|下限=1|上限=32|冷却=200|超时=2000
A|50|1|8|4|失败
A|250|21|4|2|失败
A|470|33|2|3|成功
A|670|47|3|1|失败
A|1040|58|1|2|成功
A|1240|67|2|1|失败
A|1440|73|1|2|成功
A|1640|82|2|1|失败
A|1840|88|1|2|成功
A|2040|97|2|1|失败
A|2240|103|1|2|成功
A|2440|112|2|1|失败
A|2640|118|1|2|成功
A|2840|127|2|1|失败
A|3040|133|1|2|成功
A|3240|142|2|1|失败
A|3440|148|1|2|成功
A|3640|161|2|1|失败
A|3960|193|1|2|成功
A|4160|213|2|3|成功
A|4360|233|3|4|成功
A|4560|253|4|5|成功
A|4760|277|5|2|失败
A|4960|293|2|3|成功
A|5160|313|3|4|成功
A|5360|333|4|5|成功
A|5560|357|5|2|失败
A|5760|373|2|3|成功
A|5960|393|3|4|成功
A|6160|413|4|5|成功
A|6360|437|5|2|失败
A|6560|453|2|3|成功
A|6760|473|3|4|成功
A|6960|493|4|5|成功
A|7160|517|5|2|失败
A|7360|533|2|3|成功
A|7560|553|3|4|成功
A|7760|573|4|5|成功
A|7960|597|5|2|失败
A|8160|613|2|3|成功
A|8360|633|3|4|成功
A|8560|653|4|5|成功
A|8760|677|5|2|失败
A|8960|693|2|3|成功
A|9160|713|3|4|成功
A|9360|733|4|5|成功
A|9560|757|5|2|失败
A|9760|773|2|3|成功
A|9960|793|3|4|成功
T|调用=800|成功=138|失败=547|放弃=115|截止=10000|吞吐=13.800|错误率=82.750%|调整=49|最低=1|最高=8|末值=4
