H|02-burst|调用=1200|初始=8|下限=1|上限=32|冷却=200|超时=2000
A|70|1|8|9|成功
A|270|21|9|10|成功
A|470|41|10|11|成功
A|670|61|11|12|成功
A|870|81|12|13|成功
A|1070|101|13|14|成功
A|1270|121|14|15|成功
A|1470|141|15|16|成功
A|1670|161|16|17|成功
A|1870|181|17|18|成功
A|2070|201|18|19|成功
A|2270|221|19|20|成功
A|2470|241|20|21|成功
A|2670|261|21|22|成功
A|2870|281|22|23|成功
A|3070|301|23|11|失败
A|3270|321|11|5|失败
A|3470|338|5|2|失败
A|3680|347|2|1|失败
A|4480|361|1|2|成功
A|4720|368|2|3|成功
A|4960|379|3|4|成功
A|5200|394|4|5|成功
A|5440|413|5|6|成功
A|5680|436|6|7|成功
A|5920|463|7|8|成功
A|6160|494|8|9|成功
A|6400|529|9|10|成功
A|6640|568|10|11|成功
A|6880|611|11|12|成功
A|7120|658|12|13|成功
A|7360|709|13|14|成功
A|7560|750|14|15|成功
A|7760|770|15|16|成功
A|7960|790|16|17|成功
A|8160|810|17|18|成功
A|8360|830|18|19|成功
A|8560|850|19|20|成功
A|8760|870|20|21|成功
A|8960|890|21|22|成功
A|9160|910|22|23|成功
A|9360|930|23|24|成功
A|9560|950|24|25|成功
A|9760|970|25|26|成功
A|9960|990|26|27|成功
A|10160|1010|27|28|成功
A|10360|1030|28|29|成功
A|10560|1050|29|30|成功
A|10760|1070|30|31|成功
A|10960|1090|31|32|成功
T|调用=1200|成功=1139|失败=61|放弃=0|截止=12060|吞吐=94.444|错误率=5.083%|调整=50|最低=1|最高=32|末值=32
