H|04-flapping|调用=500|初始=8|下限=1|上限=32|冷却=200|超时=2000
A|90|1|8|9|成功
A|290|6|9|4|失败
A|490|11|4|5|成功
A|690|16|5|2|失败
A|890|21|2|1|失败
A|1280|29|1|2|成功
A|1490|36|2|1|失败
A|1830|43|1|2|成功
A|2050|50|2|1|失败
A|2440|58|1|2|成功
A|2650|65|2|1|失败
A|2940|71|1|2|成功
A|3170|78|2|1|失败
A|3410|83|1|2|成功
A|3610|89|2|1|失败
A|3850|94|1|2|成功
A|4050|100|2|1|失败
A|4290|105|1|2|成功
A|4490|111|2|3|成功
A|4690|116|3|4|成功
A|4890|121|4|2|失败
A|5090|126|2|3|成功
A|5290|131|3|1|失败
A|5580|137|1|2|成功
A|5810|144|2|3|成功
A|6010|149|3|4|成功
A|6210|154|4|2|失败
A|6410|159|2|1|失败
A|6650|164|1|2|成功
A|6850|170|2|1|失败
A|7190|177|1|2|成功
A|7410|184|2|3|成功
A|7610|189|3|4|成功
A|7810|194|4|2|失败
A|8010|199|2|1|失败
A|8250|204|1|2|成功
A|8450|210|2|3|成功
A|8650|215|3|1|失败
A|8890|220|1|2|成功
A|9090|226|2|1|失败
A|9330|231|1|2|成功
A|9530|237|2|3|成功
A|9730|242|3|1|失败
A|10120|250|1|2|成功
A|10330|257|2|3|成功
A|10530|262|3|4|成功
A|10730|267|4|5|成功
A|10930|272|5|6|成功
A|11130|277|6|3|失败
A|11330|282|3|1|失败
A|11570|287|1|2|成功
A|11770|293|2|3|成功
A|11970|298|3|4|成功
A|12170|303|4|2|失败
A|12370|308|2|1|失败
A|12610|313|1|2|成功
A|12810|319|2|1|失败
A|13100|325|1|2|成功
A|13330|332|2|3|成功
A|13530|337|3|1|失败
A|13770|342|1|2|成功
A|13970|348|2|1|失败
A|14310|355|1|2|成功
A|14530|362|2|3|成功
A|14730|367|3|4|成功
A|14930|372|4|2|失败
A|15130|377|2|3|成功
A|15330|382|3|1|失败
A|15770|391|1|2|成功
A|15970|398|2|1|失败
A|16260|404|1|2|成功
A|16490|411|2|3|成功
A|16690|416|3|4|成功
A|16890|421|4|2|失败
A|17090|426|2|1|失败
A|17330|431|1|2|成功
A|17530|437|2|3|成功
A|17730|442|3|4|成功
A|17930|447|4|5|成功
A|18130|452|5|6|成功
A|18330|457|6|3|失败
A|18530|462|3|1|失败
A|18770|467|1|2|成功
A|18970|473|2|1|失败
A|19260|479|1|2|成功
A|19490|486|2|1|失败
A|19730|491|1|2|成功
A|19930|497|2|1|失败
T|调用=500|成功=239|失败=261|放弃=0|截止=20070|吞吐=11.908|错误率=52.200%|调整=88|最低=1|最高=9|末值=1
